"generated_at","topic_id","id.dataset","id.ressource","title.ressource","format.ressource","url.ressource","created_at.ressource","last_modified.ressource","column_name","column_datatype","python_type","score","nb_distinct","nb_missing_values","top_1","top_2","top_3"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","NOM DU MUSEE","string","string","1.0","1093","0","Musée Municipal","Musée des Beaux-Arts","Muséum d'Histoire Naturelle"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","VILLE","commune","string","1.4214343271555197","851","0","PARIS","MARSEILLE","NICE"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","Fréquentation","string","string","1.0","1","0","Totale","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2001","string","string","1.0","895","211","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2002","string","string","1.0","942","164","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2003","string","string","1.0","980","82","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2004","string","string","1.0","963","65","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2005","string","string","1.0","952","57","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2006","string","string","1.0","962","44","F","NC","SO"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","4cf7f64a-a107-409b-afc9-06972425b1a5","FREQUENTATION TOTALE MDF 2001 à 2016_data_def.xlsx","xlsx","https://static.data.gouv.fr/resources/frequentation-des-musees-de-france-1/20250827-121955/frequentation-totale-mdf-2001-a-2016-data-def9.xlsx","2018-05-10T06:06:54.067000+00:00","2025-08-27T12:19:55.614000+00:00","2007","string","string","1.0","997","38","F","NC","SO"
